Normalized	Original	Bamfile	Location	Source	Subplate	Size (GB)	Type
C025-36-E203	M_C025-36_002_002_CGATGT-CGATGT_L008	M_C025-36_002_002_CGATGT-CGATGT_L008.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C025-36_002_002_CGATGT-CGATGT_L008.ided.sort.dedup.indaln.mate.recal.bam	Murat2		8.14	Exome
C025-37-E204	M_C025-37_004_004_TGACCA-TGACCA_L008	M_C025-37_004_004_TGACCA-TGACCA_L008.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C025-37_004_004_TGACCA-TGACCA_L008.ided.sort.dedup.indaln.mate.recal.bam	Murat2		8.72	Exome
C025-38-E205	M_C025-38_005_005_ACAGTG-ACAGTG_L008	M_C025-38_005_005_ACAGTG-ACAGTG_L008.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C025-38_005_005_ACAGTG-ACAGTG_L008.ided.sort.dedup.indaln.mate.recal.bam	Murat2		10.43	Exome
C025-39-E206	M_C025-39_006_006_GCCAAT-GCCAAT_L008	M_C025-39_006_006_GCCAAT-GCCAAT_L008.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C025-39_006_006_GCCAAT-GCCAAT_L008.ided.sort.dedup.indaln.mate.recal.bam	Murat2		8.73	Exome
C025-4-E192	M_C025-4_012_012_CTTGTA-CTTGTA_L005	M_C025-4_012_012_CTTGTA-CTTGTA_L005.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C025-4_012_012_CTTGTA-CTTGTA_L005.ided.sort.dedup.indaln.mate.recal.bam	Murat2		9.7	Exome
C025-50-E207	M_C025-50_002_002_CGATGT-CGATGT_L002	M_C025-50_002_002_CGATGT-CGATGT_L002.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C025-50_002_002_CGATGT-CGATGT_L002.ided.sort.dedup.indaln.mate.recal.bam	Murat2		6.9	Exome
C025-6-E196	M_C025-6_002_002_CGATGT-CGATGT_L006	M_C025-6_002_002_CGATGT-CGATGT_L006.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C025-6_002_002_CGATGT-CGATGT_L006.ided.sort.dedup.indaln.mate.recal.bam	Murat2		9.33	Exome
C025-7-E197	M_C025-7_004_004_TGACCA-TGACCA_L006	M_C025-7_004_004_TGACCA-TGACCA_L006.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C025-7_004_004_TGACCA-TGACCA_L006.ided.sort.dedup.indaln.mate.recal.bam	Murat2		8.79	Exome
C025-8-E198	M_C025-8_005_005_ACAGTG-ACAGTG_L006	M_C025-8_005_005_ACAGTG-ACAGTG_L006.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C025-8_005_005_ACAGTG-ACAGTG_L006.ided.sort.dedup.indaln.mate.recal.bam	Murat2		7.44	Exome
C025-9-E199	M_C025-9_006_006_GCCAAT-GCCAAT_L006	M_C025-9_006_006_GCCAAT-GCCAAT_L006.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C025-9_006_006_GCCAAT-GCCAAT_L006.ided.sort.dedup.indaln.mate.recal.bam	Murat2		12.35	Exome
CBA-1059-3-1	CBA-1059-3-1	CBA-1059-3-1.bam	/projects/gleeson-storage2/escott/aligned/CBA-1059-3-1.bam	PlateV	N/A	13.73	Exome
CBA-1059-3-2	CBA-1059-3-2	CBA-1059-3-2.bam	/projects/gleeson-storage2/escott/aligned/CBA-1059-3-2.bam	PlateV	N/A	12.31	Exome
CBA-1059-4-1	CBA-1059-4-1	CBA-1059-4-1.bam	/projects/gleeson-storage2/escott/aligned/CBA-1059-4-1.bam	PlateV	N/A	12.53	Exome
CBA-1063-3-2	CBA-1063-3-2	CBA-1063-3-2.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/CBA-1063-3-2.bam	PlateI	PlateI	23.06	Exome
CBA-1074-I-6-1	CBA-1074-I-6-1	CBA-1074-I-6-1.bam	/projects/gleeson-storage2/escott/aligned/CBA-1074-I-6-1.bam	PlateIV	PlateIV_1	7.26	Exome
CBA-1074-I-6-3	CBA-1074-I-6-3	CBA-1074-I-6-3.bam	/projects/gleeson-storage2/escott/aligned/CBA-1074-I-6-3.bam	PlateV	N/A	10.87	Exome
CBA-1091-I-5-6	CBA-1091-I-5-6	CBA-1091-I-5-6.bam	/projects/gleeson-storage2/escott/aligned/CBA-1091-I-5-6.bam	PlateIV	PlateIV_3	14.03	Exome
CBA-1091-I-5-7	CBA-1091-I-5-7	CBA-1091-I-5-7.bam	/projects/gleeson-storage2/escott/aligned/CBA-1091-I-5-7.bam	PlateIV	PlateIV_2	13.68	Exome
CBA-1092-4-1	CBA-1092-4-1	CBA-1092-4-1.bam	/projects/gleeson-storage2/escott/aligned/CBA-1092-4-1.bam	PlateIV	PlateIV_0	11.61	Exome
CBA-1092-4-2	CBA-1092-4-2	CBA-1092-4-2.bam	/projects/gleeson-storage2/escott/aligned/CBA-1092-4-2.bam	PlateV	N/A	9.19	Exome
CBA-1244-2-1	CBA-1244-2-1_wex1	CBA-1244-2-1_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CBA-1244-2-1_wex1.bam	PlateIII	PlateIII	11.37	Exome
CBA-1244-2-2	CBA-1244-2-2_wex1	CBA-1244-2-2_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CBA-1244-2-2_wex1.bam	PlateIII	PlateIII	11.23	Exome
CBA-1244-3-2	CBA-1244-3-2	CBA-1244-3-2.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/CBA-1244-3-2.bam	PlateII	PlateII	15.95	Exome
CBA-1377-3-2	CBA-1377-3-2	CBA-1377-3-2.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CBA-1377-3-2.bam	PlateIII	PlateIII	13.76	Exome
CBA-1382-5-4	CBA-1382-5-4	CBA-1382-5-4.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/CBA-1382-5-4.bam	PlateI	PlateI	19.24	Exome
CBA-1450-I-4-1	CBA-1450-I-4-1_wex1	CBA-1450-I-4-1_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CBA-1450-I-4-1_wex1.bam	PlateIII	PlateIII	13.58	Exome
CBA-1450-II-3-3	CBA-1450-II-3-3	CBA-1450-II-3-3.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/CBA-1450-II-3-3.bam	PlateI	PlateI	27.49	Exome
CBA-1533-I-4-1	CBA-1533-I-4-1	CBA-1533-I-4-1.bam	/projects/gleeson-storage2/escott/aligned/CBA-1533-I-4-1.bam	PlateIV	PlateIV_1	10.92	Exome
CBA-1533-I-4-2	CBA-1533-I-4-2	CBA-1533-I-4-2.bam	/projects/gleeson-storage/escott/cidr1/aligned/C019AACXX_3_GCCAAT.ided.sort.dedup.indaln.mate.recal.bam	CIDR	N/A	20.41	Exome
CBA-1558-3-1	CBA-1558-3-1	CBA-1558-3-1.bam	/projects/gleeson-storage2/escott/aligned/CBA-1558-3-1.bam	PlateIV	PlateIV_3	15.25	Exome
CBA-1558-3-2	CBA-1558-3-2	CBA-1558-3-2.bam	/projects/gleeson-storage2/escott/aligned/CBA-1558-3-2.bam	PlateV	N/A	10.39	Exome
CBA-1679-5-2	NDS-1679-5-2	NDS-1679-5-2.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-1679-5-2.bam	Plate7		6.47	Exome
CBA-1719-4-1	NDS-1719-4-1	NDS-1719-4-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1719-4-1.bam	PlateVI	PlateVI	14.98	Exome
CBA-1795-2-1	NDS-1795-2-1	NDS-1795-2-1.bam	/projects/gleeson-storage/escott/PlateV/bamfiles_b/NDS-1795-2-1.bam	Plate5	N/A	11.23	Exome
CBA-1795-2-1	CBA-1795-2-1	CBA-1795-2-1.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/CBA-1795-2-1.bam	Plate5	N/A	11.23	Duplicate
CBA-1795-2-2	CBA-1795-2-2	CBA-1795-2-2.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/CBA-1795-2-2.bam	Plate5	N/A	7.6	Exome
CBA-1795-3-3	CBA-1795-3-3	CBA-1795-3-3.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/CBA-1795-3-3.bam	Plate5	N/A	8.87	Exome
CBA-1973-3-2	NDS-1973-3-2	NDS-1973-3-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1973-3-2.bam	PlateVI	PlateVI	8.92	Exome
CBA-1997-5-2	NDS-1997-5-2	NDS-1997-5-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1997-5-2.bam	PlateVI	PlateVI	8.29	Exome
CBA-1997-5-4	NDS-1997-5-4	NDS-1997-5-4.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1997-5-4.bam	PlateVI	PlateVI	13.06	Exome
CBA-1999-I-5-1	NDS-1999-I-5-1	NDS-1999-I-5-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1999-I-5-1.bam	PlateVI	PlateVI	7.81	Exome
CBA-2010-2-1	NDS-2010-2-1	NDS-2010-2-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2010-2-1.bam	PlateVI	PlateVI	8.56	Exome
CBA-2010-2-2	NDS-2010-2-2	NDS-2010-2-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2010-2-2.bam	PlateVI	PlateVI	10.13	Exome
CBA-2026-4-2	NDS-2026-4-2	NDS-2026-4-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2026-4-2.bam	PlateVI	PlateVI	8.32	Exome
CBA-2026-4-3	NDS-2026-4-3	NDS-2026-4-3.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2026-4-3.bam	PlateVI	PlateVI	9.15	Exome
CBA-2029-4-2	NDS-2029-4-2	NDS-2029-4-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2029-4-2.bam	PlateVI	PlateVI	7.01	Exome
CBA-2061-4-1	NDS-2061-4-1	NDS-2061-4-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2061-4-1.bam	PlateVI	PlateVI	9.55	Exome
CBA-2088-5-2	NDS-2088-5-2	NDS-2088-5-2.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-2088-5-2.bam	Plate7		6.65	Exome
CBA-2088-II-4-1	NDS-2088-II-4-1	NDS-2088-II-4-1.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-2088-II-4-1.bam	Plate7		5.69	Exome
CBA-750-3-1	CBA-750-3-1	CBA-750-3-1.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/CBA-750-3-1.bam	PlateI	PlateI	19.92	Exome
CBA-751-5-2	CBA-751-5-2	CBA-751-5-2.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/CBA-751-5-2.bam	PlateI	PlateI	23.28	Exome
CBA-760-1-1	CBA-760-1-1	CBA-760-1-1.bam	/projects/gleeson-storage2/escott/aligned/CBA-760-1-1.bam	PlateIV	PlateIV_1	7.66	Exome
CBA-760-1-2	CBA-760-1-2	CBA-760-1-2.bam	/projects/gleeson-storage2/escott/aligned/CBA-760-1-2.bam	PlateV	N/A	11.24	Exome
CBA-760-2-1	CBA-760-2-1	CBA-760-2-1.bam	/projects/gleeson-storage2/escott/aligned/CBA-760-2-1.bam	PlateV	N/A	8.25	Exome
CBA-CBH-1486-2-1	CBA-CBH-1486-2-1_wex1	CBA-CBH-1486-2-1_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CBA-CBH-1486-2-1_wex1.bam	PlateIII	PlateIII	10.16	Exome
CBA-CBH-1486-2-2	CBA-CBH-1486-2-2_wex1	CBA-CBH-1486-2-2_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CBA-CBH-1486-2-2_wex1.bam	PlateIII	PlateIII	13.15	Exome
CBA-CBH-1486-3-1	CBA-CBH-1486-3-1	CBA-CBH-1486-3-1.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/CBA-CBH-1486-3-1.bam	PlateII	PlateII	14.59	Exome
CBA-CCH-1410-3-1	CBA-CCH-1410-3-1	CBA-CCH-1410-3-1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CBA-CCH-1410-3-1.bam	PlateIII	PlateIII	28.97	Exome
CBA-MIC-1902-4-2	NDS-1902-4-2	NDS-1902-4-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1902-4-2.bam	PlateVI	PlateVI	6.74	Exome
CBD-1824-4-1	CBD-1824-4-1	CBD-1824-4-1.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/CBD-1824-4-1.bam	Plate5	N/A	6.93	Exome
CBD-1824-4-2	NDS-1824-4-2	NDS-1824-4-2.bam	/projects/gleeson-storage/escott/PlateV/bamfiles_b/NDS-1824-4-2.bam	Plate5	N/A	10.46	Exome
CBD-1824-4-2	CBD-1824-4-2	CBD-1824-4-2.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/CBD-1824-4-2.bam	Plate5	N/A	10.49	Duplicate
CBD-1824-5-2	NDS-1824-5-2	NDS-1824-5-2.bam	/projects/gleeson-storage/escott/PlateV/bamfiles_b/NDS-1824-5-2.bam	Plate5	N/A	9.92	Exome
CBD-1824-5-2	CBD-1824-5-2	CBD-1824-5-2.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/CBD-1824-5-2.bam	Plate5	N/A	9.93	Duplicate
CBH-1194-2-2	CBH-1194-2-2	CBH-1194-2-2.bam	/projects/gleeson-storage2/escott/aligned/CBH-1194-2-2.bam	PlateIV	PlateIV_3	13.35	Exome
CBH-1613-4-1	CBH-1613-4-1	CBH-1613-4-1.bam	/projects/gleeson-storage2/escott/aligned/CBH-1613-4-1.bam	PlateV	N/A	8.96	Exome
CBH-1613-4-2	CBH-1613-4-2	CBH-1613-4-2.bam	/projects/gleeson-storage2/escott/aligned/CBH-1613-4-2.bam	PlateIV	PlateIV_0	10.36	Exome
CBH-1727-6-2	NDS-1727-6-2	NDS-1727-6-2.bam	/projects/gleeson-storage/escott/PlateV/bamfiles_b/NDS-1727-6-2.bam	Plate5	N/A	9.75	Exome
CBH-1727-6-2	CBH-1727-6-2	CBH-1727-6-2.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/CBH-1727-6-2.bam	Plate5	N/A	9.75	Duplicate
CBH-1727-6-3	NDS-1727-6-3	NDS-1727-6-3.bam	/projects/gleeson-storage/escott/PlateV/bamfiles_b/NDS-1727-6-3.bam	Plate5	N/A	10.91	Exome
CBH-1727-6-3	CBH-1727-6-3	CBH-1727-6-3.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/CBH-1727-6-3.bam	Plate5	N/A	10.91	Duplicate
CBH-2016-3-2	NDS-2016-3-2	NDS-2016-3-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2016-3-2.bam	PlateVI	PlateVI	7.82	Exome
CBH-2196-4-1	NDS-2196-4-1	NDS-2196-4-1.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-2196-4-1.bam	Plate7		10.54	Exome
CBH-2215-3-1	NDS-2215-3-1	NDS-2215-3-1.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-2215-3-1.bam	Plate7		11.03	Exome
CBH-2215-3-2	NDS-2215-3-2	NDS-2215-3-2.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-2215-3-2.bam	Plate7		10.35	Exome
CBH-AG-1593-5-1	CBH-AG-1593-5-1	CBH-AG-1593-5-1.bam	/projects/gleeson-storage/escott/From_Frazer/bamset1/GL.159351.LX_CGATGT_L001.sorted.realigned.ided.bam	Frazer_aligned	N/A	6.81	Exome
CBH-AG-1593-5-1.WG	CBH-AG-1593-5-1	CBH-AG-1593-5-1.WG.bam	/projects/gleeson-storage/gleeson/Haddad/CBH-AG-1593-5-1.bam	WG	WG	80.37	WG
CBH-CBA-1373-2-1	CBH-CBA-1373-2-1	CBH-CBA-1373-2-1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CBH_CBA-1373-2-1_wex1.bam	PlateIII	PlateIII	11.21	Exome
CBH-CBA-1373-2-2	CBH-CBA-1373-2-2	CBH-CBA-1373-2-2.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CBH_CBA-1373-2-2_wex1.bam	PlateIII	PlateIII	11.5	Exome
CBH-CBA-1373-3-1	CBH-CBA-1373-3-1	CBH_CBA-1373-3-1.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/CBH_CBA-1373-3-1.bam	PlateII	PlateII	14.58	Exome
CBH-CCH-1953-3-2	NDS-1953-3-2	NDS-1953-3-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1953-3-2.bam	PlateVI	PlateVI	6.76	Exome
CCA-2224-3-2	NDS-2224-3-2	NDS-2224-3-2.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-2224-3-2.bam	Plate7		10.65	Exome
CCA-2224-3-3	NDS-2224-3-3	NDS-2224-3-3.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-2224-3-3.bam	Plate7		10.8	Exome
CCA-2225-4-1	NDS-2225-4-1	NDS-2225-4-1.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-2225-4-1.bam	Plate7		10.93	Exome
CCA-2225-4-2	NDS-2225-4-2	NDS-2225-4-2.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-2225-4-2.bam	Plate7		12.02	Exome
CCA-689-II-3-2	CCA-689-II-3-2	CCA-689-II-3-2.bam	/projects/gleeson-storage2/escott/aligned/CCA-689-II-3-2.bam	PlateV	N/A	10.75	Exome
CCA-689-III-3-2	CCA-689-III-3-2	CCA-689-III-3-2.bam	/projects/gleeson-storage2/escott/aligned/CCA-689-III-3-2.bam	PlateIV	PlateIV_0	10.08	Exome
CCH-1050-3-1	CCH-1050-3-1	CCH-1050-3-1.bam	/projects/gleeson-storage2/escott/aligned/CCH-1050-3-1.bam	PlateV	N/A	12.79	Exome
CCH-1050-3-2	CCH-1050-3-2	CCH-1050-3-2.bam	/projects/gleeson-storage2/escott/aligned/CCH-1050-3-2.bam	PlateV	N/A	13.53	Exome
CCH-1204-4-3	NDS-1204-4-3	NDS-1204-4-3.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-1204-4-3.bam	Plate7		6.76	Exome
CCH-1229-4-4	CCH-1229-4-4_wex1	CCH-1229-4-4_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CCH-1229-4-4_wex1.bam	PlateIII	PlateIII	12.17	Exome
CCH-1229-4-5	CCH-1229-4-5	CCH-1229-4-5.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/CCH-1229-4-5.bam	PlateII	PlateII	13.95	Exome
CCH-1234-2-1	CCH-1234-2-1_wex1	CCH-1234-2-1_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CCH-1234-2-1_wex1.bam	PlateIII	PlateIII	11.96	Exome
CCH-1234-2-2	CCH-1234-2-2_wex1	CCH-1234-2-2_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CCH-1234-2-2_wex1.bam	PlateIII	PlateIII	13.17	Exome
CCH-1234-3-1	CCH-1234-3-1_wex1	CCH-1234-3-1_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CCH-1234-3-1_wex1.bam	PlateIII	PlateIII	12.28	Exome
CCH-1234-3-4	CCH-1234-3-4	CCH-1234-3-4.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/CCH-1234-3-4.bam	PlateII	PlateII	12.36	Exome
CCH-1241-3-3	CCH-1241-3-3	CCH-1241-3-3.bam	/projects/gleeson-storage2/escott/aligned/CCH-1241-3-3.bam	PlateV	N/A	10.84	Exome
CCH-1241-3-4	CCH-1241-3-4	CCH-1241-3-4.bam	/projects/gleeson-storage2/escott/aligned/CCH-1241-3-4.bam	PlateV	N/A	10.16	Exome
CCH-1245-2-2	CCH-1245-2-2	CCH-1245-2-2.bam	/projects/gleeson-storage2/escott/aligned/CCH-1245-2-2.bam	PlateIV	PlateIV_3	13.91	Exome
CCH-1245-2-6	CCH-1245-2-6	CCH-1245-2-6.bam	/projects/gleeson-storage2/escott/aligned/CCH-1245-2-6.bam	PlateIV	PlateIV_3	14.44	Exome
CCH-1253-3-2	CCH-1253-3-2	CCH-1253-3-2.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/CCH-1253-3-2.bam	PlateII	PlateII	15.15	Exome
CCH-1376-4-3	CCH-1376-4-3	CCH-1376-4-3.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CCH-1376-4-3.bam	PlateIII	PlateIII	12.45	Exome
CCH-1376-4-6	CCH-1376-4-6	CCH-1376-4-6.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/CCH-1376-4-6.bam	PlateII	PlateII	13.31	Exome
CCH-1405-3-1	CCH-1405-3-1	CCH-1405-3-1.bam	/projects/gleeson-storage2/escott/aligned/CCH-1405-3-1.bam	PlateV	N/A	14.61	Exome
CCH-1405-3-4	CCH-1405-3-4	CCH-1405-3-4.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CCH-1405-3-4.bam	PlateIII	PlateIII	25.51	Exome
CCH-1414-3-1	CCH-1414-3-1_wex1	CCH-1414-3-1_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CCH-1414-3-1_wex1.bam	PlateIII	PlateIII	11.03	Exome
CCH-1414-3-12	CCH-1414-3-12	CCH-1414-3-12.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/CCH-1414-3-12.bam	PlateII	PlateII	14.52	Exome
CCH-1416-4-4	CCH-1416-4-4_wex1	CCH-1416-4-4_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CCH-1416-4-4_wex1.bam	PlateIII	PlateIII	11.79	Exome
CCH-1416-4-6	CCH-1416-4-6	CCH-1416-4-6.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/CCH-1416-4-6.bam	PlateI	PlateI	21.49	Exome
CCH-1552-4-1	CCH-1552-4-1	CCH-1552-4-1.bam	/projects/gleeson-storage2/escott/aligned/CCH-1552-4-1.bam	PlateIV	PlateIV_2	11.34	Exome
CCH-1552-4-2	CCH-1552-4-2	CCH-1552-4-2.bam	/projects/gleeson-storage2/escott/aligned/CCH-1552-4-2.bam	PlateV	N/A	12.53	Exome
CCH-1633-1-1	CCH-1633-1-1	CCH-1633-1-1.bam	/projects/gleeson-storage2/escott/aligned/CCH-1633-1-1.bam	PlateIV	PlateIV_3	16.4	Exome
CCH-1633-1-2	CCH-1633-1-2	CCH-1633-1-2.bam	/projects/gleeson-storage2/escott/aligned/CCH-1633-1-2.bam	PlateV	N/A	9.11	Exome
CCH-1633-2-1	CCH-1633-2-1	CCH-1633-2-1.bam	/projects/gleeson-storage2/escott/aligned/CCH-1633-2-1.bam	PlateIV	PlateIV_0	10.21	Exome
CCH-1725-5-1	NDS-1725-5-1	NDS-1725-5-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1725-5-1.bam	PlateVI	PlateVI	7.98	Exome
CCH-1725-5-2	NDS-1725-5-2	NDS-1725-5-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1725-5-2.bam	PlateVI	PlateVI	8.21	Exome
CCH-1982-3-1	NDS-1982-3-1	NDS-1982-3-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1982-3-1.bam	PlateVI	PlateVI	8.34	Exome
CCH-1982-3-4	NDS-1982-3-4	NDS-1982-3-4.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1982-3-4.bam	PlateVI	PlateVI	9.1	Exome
CCH-2035-4-1	NDS-2035-4-1	NDS-2035-4-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2035-4-1.bam	PlateVI	PlateVI	6.64	Exome
CCH-2035-4-2	NDS-2035-4-2	NDS-2035-4-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2035-4-2.bam	PlateVI	PlateVI	6.17	Exome
CCH-2069-4-2	NDS-2069-4-2	NDS-2069-4-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2069-4-2.bam	PlateVI	PlateVI	5.73	Exome
CCH-523-4-5	CCH-523-4-5	CCH-523-4-5.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/CCH-523-4-5.bam	PlateII	PlateII	14.83	Exome
CCH-523-4-6	CCH-523-4-6_wex1	CCH-523-4-6_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CCH-523-4-6_wex1.bam	PlateIII	PlateIII	10.31	Exome
CCH-542-3-5	CCH-542-3-5	CCH-542-3-5.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/CCH-542-3-5.bam	PlateI	PlateI	20.9	Exome
CCH-979-I-4-3	CCH-979-I-4-3	CCH-979-I-4-3.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/CCH-979-I-4-3.bam	PlateI	PlateI	26.83	Exome
CCH-MIC-1258-5-1	CCH-MIC-1258-5-1	CCH-MIC-1258-5-1.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/CCH-MIC-1258-5-1.bam	PlateII	PlateII	14.93	Exome
CCH-MIC-1258-5-2	CCH-MIC-1258-5-2_wex1	CCH-MIC-1258-5-2_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/CCH-MIC-1258-5-2_wex1.bam	PlateIII	PlateIII	11.2	Exome
CCH-MIC-1647-I-3-2	CCH-MIC-1647-I-3-2	CCH-MIC-1647-I-3-2.bam	/projects/gleeson-storage2/escott/aligned/CCH-MIC-1647-I-3-2.bam	PlateV	N/A	11.31	Exome
CCH-MIC-1647-I-3-3	CCH-MIC-1647-I-3-3	CCH-MIC-1647-I-3-3.bam	/projects/gleeson-storage2/escott/aligned/CCH-MIC-1647-I-3-3.bam	PlateV	N/A	10.48	Exome
CCH-MR-2034-4-1	NDS-2034-4-1	NDS-2034-4-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2034-4-1.bam	PlateVI	PlateVI	7.95	Exome
CCH-MR-2034-4-3	NDS-2034-4-3	NDS-2034-4-3.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2034-4-3.bam	PlateVI	PlateVI	6.47	Exome
CCH-MTI-1420-4-1	CCH-MTI-1420-4-1	CCH-MTI-1420-4-1.bam	/projects/gleeson-storage2/escott/aligned/CCH-MTI-1420-4-1.bam	PlateV	N/A	11.36	Exome
CCH-MTI-1420-4-2	CCH-MTI-1420-4-2	CCH-MTI-1420-4-2.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/CCH-MTI-1420-4-2.bam	PlateII	PlateII	11.15	Exome
CCH-WMD-1372-3-1	CCH-WMD-1372-3-1	CCH-WMD-1372-3-1.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/CCH-WMD-1372-3-1.bam	PlateI	PlateI	25.15	Exome
